Time (s),Avg Acc Displacement (in),Avg Acc Velocity (in/s),Avg Acc Acceleration (in/s²),Lin Acc Displacement (in),Lin Acc Velocity (in/s),Lin Acc Acceleration (in/s²),Central Diff Displacement (in),Central Diff Velocity (in/s),Central Diff Acceleration (in/s²),Wilson's Displacement (in),Wilson's Velocity (in/s),Wilson's Acceleration (in/s²)
0.48,-0.09850526443847084,-0.2378205887053862,-18.873152969608647,-0.09901338969181303,-0.2631179602942318,-18.31206448647486,-0.09852104974549387,-0.22226292414362844,-18.96472130513152,-0.1115601427816643,0.012466671780262964,-10.147910514729723
0.49,-0.10173631350597681,-0.4083892247958084,-15.240574248475795,-0.10249708643945915,-0.4273127812729981,-14.526899709278396,-0.10169191505218673,-0.3939425653098856,-15.371206928119912,-0.11190346567757822,-0.08310154656404391,-8.965733154131652
0.5,-0.10646922337994269,-0.5381927499973674,-10.72013079183601,-0.1074196244333783,-0.5495013370833556,-9.91081145279309,-0.10639990105169159,-0.5251033877049637,-10.860957550895694,-0.11312614553187507,-0.1642655377478347,-7.267065082626509
0.51,-0.112261646242193,-0.6202918224526934,-5.69968369922919,-0.11332595612076031,-0.6233427747839274,-4.857476087321267,-0.11219398280628601,-0.6085590845217169,-5.830181812454954,-0.11506380567000697,-0.2266839145524343,-5.2166102782934125
0.52,-0.11862153654932317,-0.6516862389733417,-0.5791996049004533,-0.11971742885963989,-0.646468891659412,0.2322527122243443,-0.11857108274212592,-0.6411520681583571,-0.6884149148730923,-0.11751721020285977,-0.26771024834743395,-2.9886564807065206
0.53,-0.12504639500684858,-0.6332854525317407,4.259356893220637,-0.12609136955188877,-0.6204056879169609,4.980388036265878,-0.12501702416945315,-0.6237294164104339,4.172945264457745,-0.12026926013059909,-0.2864240061889465,-0.754095087595986
0.54,-0.13106079304220314,-0.5695941545391706,8.478902705293388,-0.13197844264911499,-0.5502124935152733,9.058250844071647,-0.1310456710703346,-0.560821110052416,8.408716007145822,-0.12310169674260968,-0.28353872642610467,1.3311510401643445
0.55,-0.1362495340117369,-0.4681540393675806,11.809120329024614,-0.1369751661196428,-0.44388330834815737,12.207586189351542,-0.13623344637050147,-0.46006382067696194,11.742741867944995,-0.12581037767034248,-0.26120489834645644,3.1356145757653
0.56,-0.14028429495560343,-0.33879814940572717,14.062057663346073,-0.14076949407273012,-0.31156970017663826,14.25513544495228,-0.14024694748387384,-0.33142973027052436,13.984076213342522,-0.12821819260004347,-0.22273075384250784,4.559214325024417
0.57,-0.14294220757456433,-0.1927843743864518,15.140697340509002,-0.14315801979094422,-0.16469399233571538,15.120006123232294,-0.14286204097591196,-0.18633059466594548,15.035750907573252,-0.1301849339509716,-0.17224778990540968,5.537378462395214
0.58,-0.14411552607547073,-0.04187932579482945,15.04031237781547,-0.14405406360251669,-0.015025189416469104,14.813754460616963,-0.14397355937719275,-0.03667205429559034,14.895957166497775,-0.1316137113010056,-0.11434926139640407,6.042327239405907
0.59,-0.14381223738058233,0.10253706477251134,13.842965735652689,-0.14348662969457976,0.12621177891093122,13.433639204863098,-0.14359548206182376,0.10606792714250718,13.652039121121728,-0.1324537757129065,-0.05372921298841746,6.081682442191415
0.6,-0.1421481427979708,0.23028185174979254,11.705991659803553,-0.14159089093455046,0.24912987416261123,11.149979845472906,-0.1418522008343426,0.23166918679559528,11.468212809495892,-0.13269988174897684,0.005152907189139709,5.694741593320018
0.61,-0.13933153236190274,0.333040235463821,8.845685083002136,-0.138591444061722,0.3458244142959525,8.188928181195347,-0.13896209832591186,0.3318519173208023,8.568333295545516,-0.1323885440936954,0.05836104868094481,4.946886705041003
0.62,-0.13564204540034902,0.4048571568469225,5.51769919361816,-0.13478003202575814,0.41083014129127526,4.8122172178692,-0.13521516248792656,0.4007701702496147,5.215317290216959,-0.13159172934024937,0.10270890543903546,3.9226846465771263
0.63,-0.13140563640907402,0.44242464140807825,1.9957977186129927,-0.13048973045907036,0.4413691013344364,1.2955747907630268,-0.13094669492091957,0.4352916308905469,1.6889748379694813,-0.13040865298027457,0.1359137128931463,2.718276844245043
0.64,-0.1269677294309595,0.4451567542148268,-1.4493751572632783,-0.1260677289477736,0.43738437676634123,-2.092519704382061,-0.12650932987011562,0.4350565517997479,-1.7359906561292826,-0.12895642285490094,0.15667335447008485,1.4336514711426638
0.65,-0.12266664504186664,0.41506012360374356,-4.5699509649533745,-0.12184880566029678,0.40137083123227363,-5.110189402431455,-0.12224556388492461,0.4023256939830681,-4.8101809072068065,-0.12736028358894833,0.16466834133570624,0.16534590198161547
0.66,-0.11880923200505873,0.356422483757838,-7.157577004227731,-0.11813140894150854,0.3380283001840805,-7.558316807207179,-0.11846281599045426,0.3416422563780795,-7.3265066137910555,-0.125744176148953,0.16049531008639975,-0.9999521518429113
0.67,-0.1156503515181157,0.27535361363076805,-9.056197021186266,-0.11515794507778311,0.25377414278550514,-9.292514672507888,-0.11541271875736302,0.2593450622179472,-9.132932218235412,-0.12422224028954686,0.14554284348811392,-1.9905411678142557
0.68,-0.11337747495239535,0.17922169951330247,-10.170185802306849,-0.11310045904248063,0.15616009838227332,-10.230294208138474,-0.11327591474609532,0.1629789808470998,-10.140284055934062,-0.12289176543800444,0.12182345306777034,-2.753336916254458
0.69,-0.11210120098507978,0.07603309394981139,-10.467535310391368,-0.11205242132703847,0.05324258890879542,-10.353207686557106,-0.11215313914042102,0.060653275492332515,-10.324857015019395,-0.12182794924422563,0.09177736024229943,-3.2558816488397238
0.7,-0.11185201273215059,-0.026195443363973614,-9.978172152365632,-0.11202683782200235,-0.04704408787396937,-9.704127669995852,-0.11206284923624867,-0.03960081268767138,-9.725960620981382,-0.12108066494046445,0.05806426132092894,-3.486738135434374
0.71,-0.11258311742628914,-0.12002549546373609,-8.787838267586862,-0.11296041918469836,-0.13746559471088646,-8.380173697387566,-0.11294515539417445,-0.13042518845838708,-8.438914533161757,-0.12067328086194702,0.0233586357785626,-3.454386973038895
0.72,-0.11417877495846743,-0.1991060109719215,-7.028264834050217,-0.11472311568775803,-0.21197689300919065,-6.52208596227327,-0.11467135300541641,-0.20564131403548527,-6.604310582257883,-0.1206034289183253,-0.00983749377862106,-3.184838938397837
0.73,-0.11646715656554983,-0.25857031044455936,-4.864595060477358,-0.11713197176307923,-0.26609260676661073,-4.301056789210747,-0.11705798167488415,-0.26063579061966696,-4.39458473457846,-0.12084549265027766,-0.039352910249537784,-2.718244355785508
0.74,-0.1192365033664982,-0.29529904974511445,-2.4811527996336586,-0.11996800228901747,-0.297118660302197,-1.9041539179065126,-0.11988406881780975,-0.2926040945553515,-1.9990760525584461,-0.12135448668249967,-0.06346826059799593,-2.1048257139061217
0.75,-0.12225319032811095,-0.308038342577436,-0.06670576683065432,-0.12299465237684548,-0.3042369361544777,0.4804987474503726,-0.12291006356599118,-0.3006434089012716,0.3912131833744281,-0.12207093229555793,-0.08099477594450831,-1.4004773553963537
0.76,-0.12069539770181323,0.619596867836981,185.59374784971405,-0.12290100900287748,0.6341643907621037,187.1997666358659,-0.12589693699583518,0.6484039337524172,189.41825534736333,-0.11452167564613536,1.1693846919971491,251.47637094372783
0.77,-0.10579752059002187,2.3599785545212906,162.48258948714786,-0.1075914180481122,2.3885496717260457,163.67728955692252,-0.10994198489094284,2.4218468625943332,165.27033042101985,-0.0942801392260544,3.080229044372889,130.69249953142014
0.78,-0.07491276189360169,3.816973184762746,128.9163365611432,-0.0760904541457842,3.8548033794616945,129.57345199020722,-0.07745999974394852,3.899851410272203,130.3305791145541,-0.058103140860411205,4.213166481488585,95.89498789171915
0.79,-0.03131962840971958,4.9016535120136755,88.01972888904271,-0.031755306273465414,4.943070342821212,88.07994068169637,-0.03194495668549878,4.991036752753796,87.90648938176464,-0.012556183690216273,4.965197804514245,54.5112767134128
0.8,0.02097883170688968,5.558038511308176,43.2572709698573,0.021323568636000788,5.597122083788955,42.73040751185226,0.02236073531112743,5.638826067951886,41.65137365785304,0.03844384539411352,5.303683652175878,13.185892818913686
0.81,0.07759458753940307,5.7651126551945024,-1.8424421925919816,0.07867110065363712,5.796363400153729,-2.882144238897439,0.08083156467353894,5.823428157095786,-4.730955829073055,0.09085613651229929,5.242966573687211,-25.32930851664723
0.82,0.13410091216093203,5.536152269111289,-43.9496350240506,0.1357824242019772,5.555080985389051,-45.37433871403819,0.13882929845304315,5.560942252020187,-47.76622518604667,0.1409100937322764,4.823287024861343,-58.60660124852629
0.83,0.18635956849345212,4.915578997392727,-80.16501931966184,0.18845727630615744,4.919165354046163,-81.80878755453948,0.1920504097139427,4.89983857457774,-84.45451030244271,0.18533932478615484,4.106224642529779,-84.80587521778654
0.84,0.23080610286031272,3.973727875979394,-108.20520496300469,0.23309059584341388,3.960709090857303,-109.88246508323243,0.23682606994459796,3.915247018774008,-112.4638008583037,0.22156330716330927,3.1684703472638076,-102.74498383540771
