4.15,-4.92E-03
4.16,-1.30E-02
4.17,-2.12E-02
4.18,-2.65E-02
4.19,-2.49E-02
4.2,-1.79E-02
4.21,-9.60E-03
4.22,-3.63E-03
4.23,-1.70E-03
4.24,-1.73E-03
4.25,-6.40E-04
4.26,3.51E-03
4.27,1.03E-02
4.28,1.47E-02
4.29,1.45E-02
4.3,1.28E-02
4.31,1.22E-02
4.32,1.30E-02
4.33,1.60E-02
4.34,1.87E-02
4.35,1.67E-02
4.36,7.81E-03
4.37,-6.03E-03
4.38,-2.08E-02
4.39,-3.15E-02
4.4,-3.50E-02
4.41,-3.15E-02
4.42,-2.24E-02
4.43,-7.60E-03
4.44,1.16E-02
4.45,3.04E-02
4.46,4.39E-02
4.47,5.12E-02
4.48,5.43E-02
4.49,5.37E-02
4.5,4.79E-02
4.51,3.66E-02
4.52,2.10E-02
4.53,4.40E-03
4.54,-1.23E-02
4.55,-2.93E-02
4.56,-4.46E-02
4.57,-5.64E-02
4.58,-6.27E-02
4.59,-6.12E-02
4.6,-5.20E-02
4.61,-3.87E-02
4.62,-2.71E-02
4.63,-2.08E-02
4.64,-1.70E-02
4.65,-9.69E-03
4.66,5.51E-03
4.67,2.66E-02
4.68,4.95E-02
4.69,7.20E-02
4.7,9.25E-02
4.71,1.08E-01
4.72,1.14E-01
4.73,1.10E-01
4.74,9.88E-02
4.75,8.36E-02
4.76,6.99E-02
4.77,6.04E-02
4.78,5.32E-02
4.79,4.85E-02
4.8,5.21E-02
4.81,6.49E-02
4.82,7.72E-02
4.83,7.71E-02
4.84,6.11E-02
4.85,3.66E-02
4.86,1.44E-02
4.87,1.24E-03
4.88,-2.09E-03
4.89,8.12E-04
4.9,4.47E-03
4.91,3.33E-03
4.92,-3.96E-03
4.93,-1.13E-02
4.94,-1.13E-02
4.95,1.03E-03
4.96,2.49E-02
4.97,4.98E-02
4.98,6.45E-02
4.99,6.80E-02
5,6.57E-02
5.01,6.17E-02
5.02,5.40E-02
5.03,3.76E-02
5.04,9.14E-03
5.05,-2.90E-02
5.06,-6.79E-02
5.07,-9.46E-02
5.08,-9.97E-02
5.09,-8.35E-02
5.1,-5.82E-02
5.11,-3.95E-02
5.12,-3.54E-02
5.13,-4.25E-02
5.14,-5.18E-02
5.15,-5.48E-02
5.16,-5.07E-02
5.17,-4.68E-02
5.18,-4.73E-02
5.19,-4.51E-02
5.2,-3.19E-02
5.21,-8.25E-03
5.22,1.84E-02
5.23,3.84E-02
5.24,4.90E-02
5.25,5.29E-02
5.26,5.28E-02
5.27,5.20E-02
5.28,5.39E-02
5.29,5.85E-02
5.3,6.04E-02
5.31,5.15E-02
5.32,3.01E-02
5.33,3.43E-03
5.34,-1.69E-02
5.35,-2.76E-02
5.36,-3.51E-02
5.37,-4.60E-02
5.38,-5.89E-02
5.39,-6.59E-02
5.4,-5.97E-02
5.41,-3.90E-02
5.42,-1.09E-02
5.43,1.51E-02
5.44,3.38E-02
5.45,4.10E-02
5.46,3.31E-02
5.47,1.07E-02
5.48,-1.99E-02
5.49,-5.15E-02
5.5,-7.58E-02
5.51,-8.51E-02
5.52,-7.87E-02
5.53,-6.31E-02
5.54,-4.75E-02
5.55,-3.73E-02
5.56,-3.23E-02
5.57,-2.72E-02
5.58,-1.97E-02
5.59,-1.40E-02
5.6,-1.59E-02
5.61,-2.56E-02
5.62,-3.92E-02
5.63,-5.24E-02
5.64,-6.53E-02
5.65,-8.08E-02
5.66,-9.77E-02
5.67,-1.09E-01
5.68,-1.08E-01
5.69,-9.55E-02
5.7,-8.02E-02
5.71,-7.00E-02
5.72,-6.62E-02
5.73,-6.76E-02
5.74,-7.28E-02
5.75,-7.84E-02
5.76,-7.96E-02
5.77,-7.24E-02
5.78,-5.66E-02
5.79,-3.77E-02
5.8,-2.34E-02
5.81,-1.99E-02
5.82,-2.92E-02
5.83,-5.27E-02
5.84,-8.67E-02
5.85,-1.24E-01
5.86,-1.58E-01
5.87,-1.85E-01
5.88,-1.98E-01
5.89,-1.93E-01
5.9,-1.71E-01
5.91,-1.35E-01
5.92,-9.12E-02
5.93,-4.33E-02
5.94,5.40E-03
5.95,5.04E-02
5.96,8.93E-02
5.97,1.21E-01
5.98,1.43E-01
5.99,1.56E-01
6,1.61E-01
6.01,1.59E-01
6.02,1.50E-01
6.03,1.39E-01
6.04,1.35E-01
6.05,1.40E-01
6.06,1.52E-01
6.07,1.60E-01
6.08,1.48E-01
6.09,1.09E-01
6.1,5.29E-02
6.11,-5.40E-03
6.12,-5.51E-02
6.13,-8.91E-02
6.14,-1.05E-01
6.15,-1.04E-01
6.16,-9.23E-02
6.17,-7.88E-02
6.18,-7.10E-02
6.19,-6.83E-02
6.2,-6.46E-02
6.21,-5.65E-02
6.22,-4.29E-02
6.23,-2.24E-02
6.24,2.57E-03
6.25,2.74E-02
6.26,4.85E-02
6.27,6.51E-02
6.28,7.94E-02
6.29,9.43E-02
6.3,1.10E-01
6.31,1.24E-01
6.32,1.29E-01
6.33,1.20E-01
6.34,1.02E-01
6.35,8.22E-02
6.36,6.75E-02
6.37,5.92E-02
6.38,5.67E-02
6.39,5.47E-02
6.4,4.67E-02
6.41,3.00E-02
6.42,4.88E-03
6.43,-2.54E-02
6.44,-5.25E-02
6.45,-6.86E-02
6.46,-7.21E-02
6.47,-6.45E-02
6.48,-5.02E-02
6.49,-3.44E-02
6.5,-1.85E-02
6.51,-4.67E-04
6.52,2.23E-02
6.53,4.99E-02
6.54,7.69E-02
6.55,9.67E-02
6.56,1.04E-01
6.57,9.17E-02
6.58,5.95E-02
6.59,1.79E-02
6.6,-1.91E-02
6.61,-4.26E-02
6.62,-5.09E-02
6.63,-4.77E-02
6.64,-3.83E-02
6.65,-2.40E-02
6.66,-3.78E-03
6.67,1.86E-02
6.68,3.77E-02
6.69,5.30E-02
6.7,6.75E-02
6.71,8.62E-02
6.72,1.11E-01
