Time,U1_nodamp,U1_tmd,U2_nodamp,U2_tmd,U3_nodamp,U3_tmd
33.05,0.011011578684491229,0.006773615362827536,0.005298812019843958,0.004588158398597333,-0.004234408679146987,0.001107387779971046
33.06,0.01096308401828521,0.00675261637979581,0.005248881867461586,0.004566559483953571,-0.004187439697168166,0.0011528140329800398
33.07,0.010911981472162265,0.006729655797701996,0.005197443164688943,0.004543656287058423,-0.004140907772780958,0.001197276948150902
33.08,0.010858481976896267,0.006704942012568177,0.00514471017787213,0.004519660412985784,-0.004094615346096206,0.001240975909382861
33.09,0.010802812384657015,0.006678699250882085,0.005090912832336619,0.0044947991027422555,-0.004048349276256176,0.0012841259491385166
33.1,0.010745238944726914,0.006651191045558948,0.0050363202107477885,0.004469338732021812,-0.0040018573400079785,0.0013269812495672122
33.11,0.010686014946265813,0.006622667878964852,0.004981188218148445,0.004443532476639138,-0.003954900563604575,0.0013697828102919255
33.12,0.01062522588259525,0.0065932123474728085,0.004925604747007356,0.004417465477975593,-0.003907408054700291,0.0014126036161928143
33.13,0.010562777809514125,0.006562727520063581,0.004869478008950183,0.004391043175109141,-0.003859488667574436,0.001455336971853888
33.14,0.01049851387393685,0.006531053467262249,0.004812653033177852,0.004364107803633196,-0.003811314501683272,0.0014978130026725939
33.15,0.010432277165428567,0.006498030112985113,0.004754974498241004,0.004336501227832936,-0.0037630580668739293,0.0015398614892987988
33.16,0.010363903396940412,0.006463489915599909,0.004696279397171168,0.00430805760621968,-0.003714899615260502,0.0015813045354029708
33.17,0.01029315692680477,0.0064271938902592035,0.004636333035970722,0.004278539390425322,-0.0036670911397625877,0.001621892568773372
33.18,0.010219770120844796,0.006388870971361265,0.004574868365465217,0.00424767665746032,-0.0036199170393065054,0.0016613436757420736
33.19,0.010143545869906475,0.006348320530446605,0.004511688479853505,0.004215269608670631,-0.0035735916173561155,0.0016994461022729493
33.2,0.010064339095410107,0.006305393882127093,0.004446648115288697,0.004181170068726515,-0.003528277580440134,0.0017360397550447964
33.21,0.009981981759856906,0.006259919294983303,0.00437957864849038,0.0041452064846435885,-0.0034841610366761794,0.0017709412025294178
33.22,0.009896379541501639,0.006211798666640919,0.004310384762056079,0.0041072805915040485,-0.0034413548276251383,0.0018040403427311469
33.23,0.009807643481351418,0.006161139171186316,0.004239176109803221,0.004067499078209248,-0.0033997668601427372,0.0018354320709209936
33.24,0.009716114933318438,0.00610827820974911,0.004166292315468263,0.004026198586590202,-0.003359075104895217,0.0018654412806985699
33.25,0.009622311665399536,0.006053729512124409,0.004092249138088457,0.003983891877201464,-0.003318781428206007,0.0018945690317149686
33.26,0.009526789714796122,0.005998044992348359,0.004017600387393616,0.00394112974512564,-0.0032783496739003113,0.0019233544673897681
33.27,0.009429965602675748,0.005941636963928193,0.003942760172539452,0.003898323269120068,-0.0032373834118144926,0.001952197065955323
33.28,0.009332136655663814,0.0058847984618151826,0.0038680232341844036,0.0038557641441074792,-0.0031956056029704815,0.0019813769748281934
33.29,0.009233583491602287,0.005827805728657359,0.0037936674432441516,0.0038137271803448027,-0.0031527560980821193,0.0020111575116408846
33.3,0.009134538918695473,0.0057708871144519745,0.003719922716322445,0.003772439219268644,-0.003108622719393651,0.0020417540819337283
33.31,0.009035140012821246,0.005714175154376086,0.003646923097818041,0.0037320312160172165,-0.00306308917585061,0.0020732862635067665
33.32,0.008935428289926352,0.005657706741713778,0.003574706925376397,0.0036925384052972545,-0.0030161348949366393,0.002105777974098144
33.33,0.008835354885888455,0.005601428308262625,0.0035032219953552816,0.003653905467265036,-0.002967829854509821,0.0021391626390555186
33.34,0.008734841403796859,0.005545256672171361,0.003432386394973071,0.0036160473600902,-0.0029182737479720717,0.0021733440256670213
33.35,0.008633803923100406,0.005489103047657056,0.0033621125011407725,0.0035788733192033567,-0.002867571982771821,0.0022082202441516025
33.36,0.008532150340951443,0.005432870386930736,0.003292304312645028,0.0035422841898946613,-0.0028158383455735196,0.002243681081975312
33.37,0.00842983670846899,0.005376509717054434,0.003222913782349143,0.0035062287599303384,-0.0027631386674275495,0.002279664338160009
33.38,0.00832688505666933,0.005320037966477881,0.0031539586494111886,0.0034707215921861495,-0.002709472988940744,0.00231617365758438
33.39,0.008223350718899793,0.005263505288090515,0.00308548977151771,0.003435810357296253,-0.002654808225447728,0.0023532458652771315
33.4,0.008119329652221324,0.00520700238123434,0.003017598457132024,0.003401583166316405,-0.002599070832183306,0.00239095830070221
33.41,0.00801491092648221,0.0051506129814199025,0.0029503689644231105,0.003368121070067434,-0.0025421943027894387,0.002429381318702593
33.42,0.007910092559885423,0.005094329696547755,0.002883794333542618,0.003335413891826441,-0.002484203334490352,0.002468494123769186
33.43,0.007804822697721862,0.005038095186307703,0.002817817552252522,0.0033034013933682157,-0.002425172659935996,0.0025082259376346928
33.44,0.007699062952051488,0.004981865502537614,0.002752394888238249,0.0032720366076916,-0.002365163712380727,0.002548519333525665
33.45,0.007592762071430233,0.004925583759639693,0.0026874695547739426,0.003241259505097453,-0.002304250957530751,0.002589303903739283
33.46,0.007485856613677418,0.004869180808048823,0.0026229723764071796,0.0032109976592854315,-0.002242521225393871,0.0026304969272114174
33.47,0.007378233606880917,0.004812537895950124,0.0025587844379980017,0.0031811288968044047,-0.002180111058798405,0.002671966020409173
33.48,0.007269705720077682,0.004755461840683285,0.0024947122337815298,0.003151456446525724,-0.0021172315619148135,0.0027135042882144777
33.49,0.007160113581276998,0.004697787347500906,0.0024305899664566672,0.0031218112391417792,-0.0020540660987802286,0.0027549326247986025
33.5,0.00704940730986678,0.004639458542721067,0.002366361079633776,0.0030921334400226827,-0.0019906887584927517,0.002796181247820848
33.51,0.006937560192578605,0.004580442650449793,0.0023019919403060437,0.0030623861320957335,-0.0019271506704090422,0.0028372033826179364
33.52,0.0068245556988981385,0.004520717008759883,0.0022374588546776432,0.003032542332080724,-0.0018634929860120615,0.002877962279717367
33.53,0.006710457005921261,0.004460338595326366,0.002172817600681891,0.003002654523414214,-0.0017996773441158207,0.0029185007490079512
33.54,0.0065953628324192815,0.004399399862281857,0.0021081592771875863,0.0029728105058609267,-0.0017356300194073225,0.002958897010567444
33.55,0.006479428971052177,0.0043380502692306495,0.002043631853225,0.002943154945143664,-0.0016712203709925533,0.002999286245480497
33.56,0.006362863997878885,0.004276491993570462,0.0019794359005628074,0.0029138851059229923,-0.0016062651076133652,0.003039856329980189
33.57,0.006245777927087019,0.004214828586044091,0.0019156732596349948,0.002885099518125667,-0.0015406796195354393,0.00308069650291304
33.58,0.00612818403557172,0.004153066796150608,0.0018523488554866591,0.0028567997932906855,-0.0014744761604408374,0.003121799183194081
33.59,0.0060101195494003,0.004091237259452611,0.0017894913804073077,0.002829011307601499,-0.001407643162658656,0.0031631806539185675
33.6,0.0058915759762353396,0.004029324830852116,0.0017270836265846877,0.0028017135349373743,-0.0013402149024006212,0.0032048113964636003
33.61,0.005772450752116871,0.0039672202322355654,0.001665014118780497,0.0027747916799452047,-0.0012723198650018048,0.0032465677245795545
33.62,0.005652617725778334,0.0039047905376625434,0.0016031475803642177,0.0027481071444679698,-0.0012041102768332874,0.0032883022518045936
33.63,0.0055319539366172465,0.003841905952219046,0.001541351699373108,0.0027215242939978225,-0.0011357353372202774,0.0033298706588688535
33.64,0.0054103791861105695,0.0037784793843251173,0.0014795366945983205,0.002694950024153722,-0.0010673016503658453,0.0033711712610882284
33.65,0.005287900897792075,0.0037145113066140902,0.0014177001816960265,0.0026683786271824656,-0.00099882835728044,0.003412189875747701
33.66,0.0051645554725544916,0.0036500311121460466,0.0013558685393218126,0.0026418331584813154,-0.0009303057677173417,0.003452941189474139
33.67,0.005040368333612826,0.0035850571602917694,0.0012940569586212317,0.0026153254864750616,-0.0008617353087808774,0.003493428808931848
