Time(s),Displacement(inch),Velocity(inch/s),Acceleration(inch/s^2)
3.34,-6.13E-05,0.002782564,-0.313342931
3.36,-4.36E-05,0.000235508,0.058637356
3.38,-4.59E-08,0.005468605,0.464672284
3.4,0.000124235,0.003058268,-0.70570595
3.42,7.84E-05,-0.005929631,-0.193083971
3.44,-2.58E-05,-0.001845847,0.601462428
3.46,-3.91E-06,0.000962102,-0.32066759
3.48,-1.60E-05,-0.000533169,0.171140504
3.5,3.47E-06,0.002276829,0.109859331
3.52,3.89E-05,-0.000337714,-0.371313629
3.54,5.79E-06,-0.000577444,0.347340548
3.56,4.53E-05,0.003600929,0.070496811
3.58,8.45E-05,-0.002013584,-0.631948135
3.6,1.18E-06,-0.002157683,0.617538258
3.62,3.17E-05,0.002723761,-0.129393846
3.64,3.93E-05,-0.003020207,-0.445003021
3.66,-3.00E-05,9.06E-05,0.756081494
3.68,4.26E-05,0.003159884,-0.449150865
3.7,1.12E-05,-0.006545334,-0.521370919
3.72,-0.000137308,-0.003971244,0.778779979
3.74,-0.000123337,0.002250264,-0.156629237
3.76,-0.000116397,-0.00189321,-0.257718125
3.78,-0.000102876,0.008391705,1.286209576
3.8,0.000136536,0.006266411,-1.498738926
3.82,5.87E-05,-0.009226644,-0.050566549
3.84,-3.91E-05,0.004301094,1.403340255
3.86,0.000133563,0.003257443,-1.507705349
3.88,3.68E-05,-0.005949071,0.587054029
3.9,4.42E-05,0.007127737,0.720626719
3.92,0.000154715,-0.004877784,-1.921178818
3.94,-0.00011341,-0.011251425,1.283814699
3.96,-0.000103568,0.01114106,0.955433835
3.98,0.000101086,-0.001138428,-2.183382606
4,-0.000106521,-0.007030303,1.594195113
4.02,3.07E-06,0.014557282,0.564563323
4.04,0.000236304,0.00022487,-1.997804484
4.06,4.77E-05,-0.008764542,1.098863238
4.08,2.87E-05,0.003695496,0.147140636
4.1,7.79E-05,-0.001482487,-0.664939023
4.12,2.37E-05,0.00147804,0.960991815
4.14,0.000113298,0.000877297,-1.021066195
4.16,-6.48E-06,-0.009511,-0.017763477
4.18,-9.84E-05,0.005416751,1.510538586
4.2,0.000104946,0.004558356,-1.596378124
4.22,-1.09E-05,-0.010531118,0.087430722
4.24,-0.000131921,0.002036073,1.169288435
4.26,2.71E-06,0.004429818,-0.92991393
4.28,-3.76E-05,-0.005605801,-0.073647952
4.3,-0.000109687,0.001133549,0.747582939
4.32,-3.84E-05,0.000955261,-0.765411745
4.34,-7.94E-05,-0.000407947,0.629090875
4.36,3.44E-05,0.011589112,0.570615108
4.38,0.000232592,0.000846645,-1.644861884
4.4,8.33E-05,-0.00764515,0.795682393
4.42,6.64E-05,0.004797835,0.448616165
4.44,0.00016529,0.000759134,-0.85248633
4.46,9.77E-05,-0.003134707,0.463102275
4.48,8.47E-05,-0.000307225,-0.180354058
4.5,2.78E-05,-0.006125322,-0.401455714
4.52,-7.78E-05,0.000429322,1.056920208
4.54,3.51E-05,0.005512749,-0.548577535
4.56,3.58E-05,-0.005441521,-0.546849483
4.58,-6.96E-05,0.000539999,1.145001456
4.6,5.38E-05,0.005987731,-0.600228228
4.62,4.55E-05,-0.007216307,-0.720175564
4.64,-0.000117078,-0.00275671,1.166135282
4.66,-5.75E-05,0.002793219,-0.6111424
4.68,-9.06E-05,-0.004445043,-0.112683764
4.7,-0.000137429,0.002993138,0.856501799
4.72,-4.91E-05,-0.001302367,-1.286052296
4.74,-0.000201162,-0.007343613,0.681927673
4.76,-0.000207322,0.006944044,0.746838063
4.78,-2.57E-05,0.005889764,-0.85226605
4.8,-1.16E-05,-0.001138472,0.149442473
4.82,6.78E-06,0.003532887,0.317693402
4.84,8.57E-05,0.001601424,-0.510839703
4.86,4.53E-05,-0.00416033,-0.065335723
4.88,-3.64E-05,-0.003273919,0.15397684
4.9,-8.36E-05,-0.002074389,-0.034023848
4.92,-0.000111541,0.0002933,0.270792778
4.94,-7.95E-05,0.001504862,-0.149636555
4.96,-6.86E-05,0.000122432,0.0113935
4.98,-6.26E-05,0.000548763,0.031239638
5,-2.98E-05,0.00350184,0.264068063
