time(t), H.Exact(u), C.D(u1), C.D(v1), C.D(a1), N.L.A(u2), N.L.A(v2), N.L.A(a2)
15.4, 0.0012733238129060613, -0.0008705757559606741, 0.0021499520551443926, 0.046574665126018024, -0.0009530832327031108, 0.0029692422975490062, 0.05140319822543021
15.42, 0.0011959512928852523, -0.0008182617818325826, 0.0030382147105851745, 0.04225160041806014, -0.0008838325728944625, 0.003935082393944912, 0.045180811414160416
15.44, 0.0011181027862301577, -0.0007490471675372671, 0.003800499413745344, 0.03397686989795679, -0.0007967719358866233, 0.004737122649144458, 0.03502321410579379
15.46, 0.001039811828801911, -0.0006662418052827689, 0.00438689441759154, 0.02466263048666277, -0.0006957649456539037, 0.0053265710955610925, 0.023921630535869598
15.48, 0.0009611119382559938, -0.0005735713908336055, 0.004868975155729159, 0.02354544332709913, -0.0005846354939832472, 0.0057770592541175935, 0.021127185319780084
15.5, 0.0008820365337947059, -0.00047148279905360254, 0.00537290974259943, 0.026848015359928007, -0.0004647533161067492, 0.006216936320041715, 0.02286052127263183
15.52, 0.0008026188655157418, -0.00035865500112962833, 0.005912898897595384, 0.02715090013966743, -0.0003359165515885441, 0.006663036824921018, 0.02174952921529827
15.54, 0.0007228919550438138, -0.00023496684314978718, 0.006374876102752119, 0.019046820376006187, -0.00019892367137129565, 0.007005363090592248, 0.012483097351824401
15.56, 0.0006428885487402604, -0.00010365995701954357, 0.0065700168628271376, 0.00046725563149572883, -5.7611431506064144e-05, 0.007061278825081985, -0.006891523902850416
15.58, 0.0005626410843592077, 2.7833831363298315e-05, 0.006374922275050639, -0.01997671440914551, 8.084856711732731e-05, 0.006715357382373251, -0.027700620368023454
15.6, 0.0004821816715723857, 0.000151336933982482, 0.005795852109574452, -0.03793030213847326, 0.00020842257851469022, 0.005982393148538168, -0.04559580301548505
15.62, 0.00040154208633324346, 0.0002596679157462764, 0.004928553222312078, -0.04879958658776411, 0.00031825482064681853, 0.004966008052897757, -0.056042706548556254
15.64, 0.0003207537786081993, 0.0003484790628749651, 0.003970448683387354, -0.04701086730470822, 0.0004065304152927636, 0.0038697501565818134, -0.05358308308303816
15.66, 0.00023984789258362725, 0.00041848586308177056, 0.003112405502819867, -0.038793450752040555, 0.00047381079017118957, 0.0028883867494306514, -0.04455325763207818
