Time(s),Displacement(inch),Velocity(inch/s),Acceleration(inch/s^2)
2.94,-0.0004646987400181093,-0.0014902104812298555,0.0019393948399377549
2.96,-0.0004925852286379306,-0.0012219462789128535,0.02488702539176244
2.98,-0.0005125187517530873,-0.0007950061633654257,0.017806986162980442
3.0,-0.0005250157544190567,-0.00046260793479436135,0.015432836694126041
3.02,-0.0005316479419657324,-0.00022394062935388856,0.008433893849921261
3.04,-0.000534526720866544,-6.827451491317948e-05,0.007132717594149659
3.06,-0.0005338186067312166,0.00017143897418398218,0.016838631315566507
3.08,-0.0005269065546474579,0.0005255435510401732,0.018571826370052585
3.1,-0.0005121881162807251,0.000970960389229062,0.025969857448836262
3.12,-0.00048799499451681694,0.0014273489116397205,0.019668994792229496
3.14,-0.0004569564208257297,0.0016043982824613479,-0.0019640577100667874
3.16,-0.000426720023245191,0.0013463036492587788,-0.02384540561019023
3.18,-0.0004045851541886317,0.000866077116068235,-0.024177247708864275
3.2,-0.00039056138064559115,0.0006131842764082511,-0.0011120362571341435
3.22,-0.000376812222961451,0.0008471254623758697,0.024506154853895994
3.24,-0.00035463215061976077,0.001387698377962842,0.02955113670480119
3.26,-0.0003206630419369912,0.0020244581794417304,0.034124843443087555
3.28,-0.00027450198037018615,0.0025339944417064287,0.016828782783382103
3.3,-0.00022287451671247909,0.002507842837409382,-0.01944394321308686
3.32,-0.00017787131223754546,0.0019292344285521414,-0.038416897672637264
3.34,-0.00014693380503203512,0.001166326200448648,-0.03787392513771217
3.36,-0.0001299219395885208,0.000597866667006971,-0.01897202820645553
3.38,-0.0001192543336869369,0.0005941278332881998,0.01859814483457838
3.4,-0.00010191109815048308,0.0012272482155458876,0.04471389339119039
3.42,-6.93681380434244e-05,0.0019798086510551234,0.030542150159733075
3.44,-2.550013421504448e-05,0.002315161770549412,0.002993161789695726
3.46,2.0364510202863448e-05,0.002219441503690407,-0.012565188475596253
3.48,6.272950833131074e-05,0.002041518596642242,-0.005227102229220338
3.5,0.00010313367198242686,0.002029858376675136,0.004061080232509656
3.52,0.00014463545172492274,0.00212493940569901,0.005447022669877835
3.54,0.0001884919674003261,0.0022741283132137083,0.00947186808159194
3.56,0.0002367707194337449,0.0025988374977694777,0.02299905037398493
3.58,0.0002929799060921442,0.003003712499481098,0.01748844979717699
3.6,0.0003561597377806099,0.003294665256335895,0.011606825888302518
3.62,0.0004240404398552453,0.0034767065396404933,0.006597302442157187
3.64,0.000494221419006775,0.003507760769026898,-0.0034918795035168465
3.66,0.000563804811570127,0.003456906141484173,-0.0015935832507559455
3.68,0.000632734849155444,0.0034416291873367627,6.588783601488036e-05
3.7,0.0006999222182745323,0.0031941881148295653,-0.02480999508673476
3.72,0.0007564892261025899,0.0023447748954168587,-0.06013132685453607
3.74,0.0007902181940658212,0.0009711086721963309,-0.07723529546751677
3.76,0.0007941117871961052,-0.0005858254201749059,-0.07845811376960694
3.78,0.0007707497338908123,-0.001548076017748026,-0.017766945987705007
3.8,0.0007387199705048211,-0.0015306430125255775,0.019510246509949904
3.82,0.0007116630904174805,-0.0011923484531494314,0.014319209427664745
3.84,0.000690833817189163,-0.0008828861722254223,0.016627018664736135
3.86,0.0006764716951224199,-0.0005548161522079828,0.01617998333700788
3.88,0.0006691605502635147,-0.00014883925778989073,0.02441770610480136
3.9,0.0006720881980394345,0.0004926486209197407,0.03973108176616178
3.92,0.0006878113574074545,0.000975865845701897,0.008590640712053803
3.94,0.000706108751592274,0.0007069710291986031,-0.03548012236238326
3.96,0.0007137431625833259,8.60208138844013e-05,-0.026614899169036952
3.98,0.0007103113558773207,-0.0004206636419792066,-0.024053546417323823
4.0,0.000697420707210493,-0.0008517345518925,-0.019053544574005443
4.02,0.0006791201212208457,-0.0008510833489220284,0.019118664871052626
4.04,0.0006681107185463054,-0.00014043035204751002,0.05194663481639924
4.06,0.0006751062511269526,0.0008107242430280976,0.04316882469116153
4.08,0.000697849793905745,0.001358394683851042,0.011598219391132886
4.1,0.0007271349140607356,0.0015599964616351714,0.008561958387279956
4.12,0.000761553937965896,0.0019572410786309214,0.03116250331229493
4.14,0.0008059078926163768,0.0024269860071873327,0.015811989543346065
4.16,0.000855091326706151,0.0023654232036580073,-0.021968269896278585
4.18,0.0008985339262606427,0.002005226224820506,-0.014051427987471575
4.2,0.0009364306644827041,0.0018145725635429126,-0.005013938140287904
4.22,0.0009705391906976205,0.0015372731865545275,-0.02271599955855072
4.24,0.0009953073386731604,0.0008678358188074435,-0.0442277372161578
4.26,0.0010042911357972181,5.417530315533599e-05,-0.03713831434905295
4.28,0.0009979286977271295,-0.0006913331733334313,-0.03741253329982376
4.3,0.0009761383742921896,-0.001511756835575871,-0.04462983292442028
4.32,0.0009364184451728529,-0.002488177367504569,-0.05301222026844947
4.34,0.0008774947143350394,-0.0033320826879784118,-0.031378311778934645
4.36,0.00080888072139746,-0.003314150446890735,0.03317153588770245
4.38,0.0007511029392147206,-0.00237008179250646,0.061235329550725186
4.4,0.0007154285614604584,-0.0012233463736336548,0.05343821233655539
4.42,0.0007008522439467912,-0.00027413700314833075,0.04148272471197705
4.44,0.0007042156050308327,0.0006379509217831202,0.04972606778116805
4.46,0.0007270560352045872,0.0016529020046852565,0.051769040509045565
4.48,0.0007687766904496178,0.002434603872293612,0.026401146251789798
4.5,0.0008200772279520151,0.0025618614182544826,-0.013675391655702774
4.52,0.0008681571063206037,0.0022250128353363584,-0.020009466636109665
4.54,0.0009094458327943406,0.001943377966748928,-0.008154020222633517
4.56,0.0009462433903466463,0.0017144179015743577,-0.01474198629482368
4.58,0.00097762738246657,0.0014261828777880395,-0.014081516083808211
4.6,0.0010042242381404793,0.00127797775634844,-0.0007389960601518316
4.62,0.0010285645414765514,0.0011024799483154186,-0.016810784743150353
4.64,0.0010456992265098068,0.0005333507057889832,-0.04010213950949326
4.66,0.0010470502015822876,-0.0004630337556109021,-0.05953630663049528
4.68,0.0010255301713168704,-0.0017065739622858297,-0.06481771403699746
4.7,0.0009791768951434641,-0.0028916663610693335,-0.0536915258413529
4.72,0.0009092270785641382,-0.004172224506346674,-0.07436428868638102
4.74,0.0008095996693856028,-0.005856019477223175,-0.09401520840126902
4.76,0.0006743542024911305,-0.00763462899571182,-0.08384574344759511
4.78,0.0005080044981107828,-0.008844740231152552,-0.037165380096477255
4.8,0.00032606790013507225,-0.009229355433086716,-0.001296140096938379
4.82,0.00014252739575526898,-0.009059403389827676,0.018291344422842797
4.84,-3.3925924639425225e-05,-0.008532104723777204,0.03443852218220463
4.86,-0.0001982716852670069,-0.007932039868404893,0.02556796335502676
4.88,-0.00035397668327255473,-0.0077473495975726525,-0.007098936271802354
4.9,-0.0005121327659452909,-0.00815772384304711,-0.03393848827564301
4.92,-0.0006821460917199755,-0.008847166297352035,-0.03500575715484944
4.94,-0.0008656175526230098,-0.009476328969202584,-0.027910510030204925
4.96,-0.0010599011762594517,-0.00991078050675908,-0.01553464372544441
