Time(s),Displacement(inch),Velocity(inch/s),Acceleration(inch/s^2)
9.0,0.0007637955789424183,-0.005078064913524505,-0.2014824193041322
9.02,0.0006229030374554767,-0.008962927202950891,-0.18700380963850632
9.04,0.00041706644425793064,-0.011079596477345086,-0.024663117800912668
9.06,0.0002000548460905465,-0.010145915592408317,0.11803120629459013
9.08,1.605558658809518e-05,-0.008488369803496966,0.04772337259654522
9.1,-0.00015322683964091443,-0.00889285805332296,-0.08817219757914443
9.12,-0.00034929462755566455,-0.01074273010477515,-0.09681500756607438
9.14,-0.0005762207631328309,-0.011585310051363902,0.01255701290719944
9.16,-0.0007989941553193056,-0.01037095885431542,0.10887810679764949
9.18,-0.000981891987443497,-0.007781538177974367,0.1500639608364564
9.2,-0.0011052197810454956,-0.004436732292715611,0.1844166276894197
9.22,-0.001152681277876896,-8.992621617307165e-05,0.2502639799648344
9.24,-0.001109955091427873,0.0040861406000512746,0.1673427016576001
9.26,-0.0010073781310903588,0.005540835833948564,-0.021873178267871433
9.28,-0.0009039064926455971,0.004657805881495847,-0.06642981697740037
9.3,-0.000817560571370737,0.0043005745980113155,0.03070668862894731
9.32,-0.0007194759220404595,0.005804481317229524,0.11968398329287348
9.34,-0.0005741318303234644,0.008995811290161486,0.19944901400032256
9.36,-0.00035172444816078006,0.01337499460407644,0.23846931739117266
9.38,-3.4694845102342954e-05,0.018419758076700973,0.26600702987127994
9.4,0.00038908080901247424,0.02406676166510783,0.2986933289694045
9.42,0.0009284790237381606,0.02978927558894326,0.27355806341413774
9.44,0.0015705595043910274,0.033997940285902105,0.14730840628174527
9.46,0.002268076497838775,0.035158584382540485,-0.031243996617906934
9.48,0.0029538165042919877,0.03285627216908005,-0.19898722472813848
9.5,0.003560704156638224,0.027310475761056743,-0.35559241607419456
9.52,0.004031910971696007,0.019615994897295926,-0.41385567030188847
9.54,0.004338603502800313,0.010910446574072828,-0.45669916202042193
9.56,0.004461443817814867,0.0011721457242417016,-0.5171309229626911
9.58,0.004381113361384729,-0.009222550683377122,-0.5223387177991913
9.6,0.0041028219401869764,-0.018075224634916818,-0.362928677354778
9.62,0.003683870387471956,-0.02306299686387166,-0.13584854554070502
9.64,0.0032033522048706066,-0.024593248207051926,-0.017176588777320877
9.66,0.0027109771742753466,-0.024497992287412004,0.026702180741314023
9.68,0.0022298397959564075,-0.02344164398042997,0.07893264995689035
9.7,0.0017812375332328973,-0.02119637794723553,0.1455939533625544
9.72,0.0013852495693463707,-0.01846137822213349,0.1279060191476502
9.74,0.0010339683235535656,-0.0170484906161303,0.013382741452669327
9.76,0.0006850813602267288,-0.018369890681291596,-0.14552274796879933
9.78,0.0002810857528752891,-0.02240433226044476,-0.2579214099465163
9.8,-0.00021693836477496467,-0.027315739027183386,-0.23321926672734583
9.82,-0.0007992881346648855,-0.0303887947618479,-0.07408630673910528
9.84,-0.001413028360943374,-0.030542581350686406,0.05870764785525615
9.86,-0.0020081508340740253,-0.02877028474677747,0.11852201253563939
9.88,-0.002554703312417783,-0.025627522383365114,0.19575422380559898
9.9,-0.0030182981684480836,-0.020241725875870812,0.34282542694383267
9.92,-0.003348644660168906,-0.012496776275820019,0.43166953306124684
9.94,-0.0035185447709676775,-0.004808159398788162,0.3371921546419396
9.96,-0.0035574057748025633,0.00041524667592404354,0.18514845282928125
9.98,-0.0035205607813850143,0.0028447711324914703,0.05780399282746135
10.0,-0.003455777696037772,0.0034498806088287593,0.0027069548062674327
10.02,-0.00338528931706244,0.0036464260805796176,0.016947592368818237
10.04,-0.0033066237452783953,0.004337507682759289,0.05216056784914886
10.06,-0.0032042883796292885,0.006153683803356043,0.1294570442105264
10.08,-0.003049560798746752,0.00960719908356304,0.21589448381017262
10.1,-0.002811790175911646,0.014292250420038063,0.25261064983732895
10.12,-0.0024756782345293307,0.019306183868897975,0.24878269504866166
10.14,-0.002041282961487612,0.024059096267975224,0.2265085448590629
10.16,-0.001521353570068974,0.02760613072825461,0.12819490116887453
10.18,-0.000952937633486564,0.02876818001916351,-0.011989972077984589
10.2,-0.00038789509729622834,0.027339920111003203,-0.1308360187380471
10.22,0.0001286075585971369,0.024103918349378854,-0.19276415742438985
10.24,0.000574128603937149,0.020547961676487998,-0.16283150986469672
10.26,0.0009567662737599395,0.01792804221908955,-0.09916043587514865
10.28,0.0012971428144851378,0.016192001029352115,-0.07444368309859496
10.3,0.0016037918530701321,0.01435779056003085,-0.10897736383353172
10.32,0.0018672725040214222,0.01189629016096714,-0.13717267607284042
10.34,0.002077774552733222,0.009154453745564124,-0.13701096546746158
10.36,0.0022349486887286102,0.006637322562854583,-0.11470215280349297
10.38,0.002347300773455466,0.004725189111354112,-0.07651119234655421
10.4,0.0024280949619149323,0.003433861969677248,-0.05262152182113234
10.42,0.0024856848704711246,0.00229697756228576,-0.06106691891801656
