Time(s),Displacement(m),Velocity(m/s),Acceleration(m/s^2)
9.28,-2.141535956133939e-06,5.483359820744713e-05,0.015902687373205524
9.3,3.3574075736954434e-07,0.00010289743687857302,-0.011096303506092944
9.32,8.110011627595693e-07,-2.3542777887712916e-05,-0.0015477179705356454
9.34,8.412405719594139e-07,6.709864686075897e-05,0.010611860445382834
9.36,2.7724610796954035e-06,4.936717798505218e-05,-0.01238500733295352
9.38,2.394581128985905e-06,-3.156627524699397e-05,0.00429166200974891
9.4,2.7705891833334566e-06,7.661713854863161e-05,0.006526679369813649
9.42,4.248952096066863e-06,3.253366114611329e-06,-0.013863056613215678
9.44,2.6785184389401117e-06,-0.00010344121466607857,0.0031935985351466863
9.46,1.3413315410754244e-06,-2.5631590699012815e-05,0.004587363861559893
9.48,9.592123357464482e-07,-5.1928338016919727e-05,-0.0072170385933505825
9.5,-7.702264611485588e-07,-8.338875756690574e-05,0.004070996638351979
9.52,-1.4096900361388165e-06,3.014801250175302e-05,0.007282680368513901
9.54,-5.7258012192162e-07,-7.556341556065583e-06,-0.011053115774295767
9.56,-1.946561516116278e-06,-8.045336827410985e-05,0.003763413102491347
9.58,-2.537334263804771e-06,3.4656693370032276e-05,0.007747593061922868
9.6,-9.02657715330916e-07,9.841216491178498e-05,-0.0013720459077476016
9.62,8.294097789565267e-07,7.670625339702245e-05,-0.0007985452437286565
9.64,1.9121047930268977e-06,1.697719775379733e-05,-0.005174360320593856
9.66,1.6529439021216694e-06,-2.108492593744036e-05,0.0013681479514700886
9.68,1.6468470226244521e-06,2.7573840435597243e-05,0.0034977286858336723
9.7,2.4183729460739455e-06,2.5603920787892818e-05,-0.0036947206506041186
9.72,2.157181076875818e-06,-5.3439415449463576e-05,-0.004209612973131519
9.74,6.129841734061643e-07,-8.265457489020568e-05,0.0012880970290573097
9.76,-9.386530701409531e-07,-8.031740704222935e-05,-0.0010543802442596738
9.78,-2.508226065660596e-06,-6.425733280089104e-05,0.0026603876683935074
9.8,-3.001097941523294e-06,2.7980007538442323e-05,0.006563346365539832
9.82,-1.6078727488589405e-06,8.739030016737007e-05,-0.00062231710264706
9.84,-3.704783466706145e-07,1.7051731019979315e-05,-0.006411539812092016
9.86,-6.947879791026977e-07,-1.8634508783850945e-05,0.0028429158317089913
9.88,-4.3890661430004904e-07,4.7222063971009265e-05,0.0037427414437770316
9.9,9.252199088298578e-07,7.274743608969719e-05,-0.0011902042319082429
9.92,1.8982579945447887e-06,1.23628829969277e-05,-0.00484825107736871
9.94,1.1543011696396069e-06,-8.783677895594558e-05,-0.005171715117918616
9.96,-8.795366559462839e-07,-7.768496474680631e-05,0.006186896538832545
9.98,-1.6500597148741978e-06,-2.207749473389991e-05,-0.0006261495375419045
10.0,-2.1545836566930742e-06,-2.526210642961264e-05,0.00030768836797063354
10.02,-2.301011943616339e-06,2.5483086141029222e-05,0.004766830889093552
10.04,-1.4173053239691674e-06,3.392151177408183e-05,-0.003922988325788294
10.06,-1.0441518606709017e-06,2.7359879204459128e-05,0.003266825068826023
10.08,-1.3549791529259691e-08,6.720230127406781e-05,0.0007174171381348427
10.1,1.0077516962820143e-06,1.1616449242207066e-05,-0.0062760023413209205
10.12,6.681452420445599e-07,-1.1413843206823111e-05,0.003972973096417904
10.14,9.787289768623798e-07,2.968551567214018e-05,0.00013696279147842362
10.16,1.0461058147765483e-06,-5.063413357193933e-05,-0.008168927715886374
10.18,-6.594642659240497e-07,-7.287796780234732e-05,0.005944544292845579
10.2,-1.2216369391972222e-06,1.9845916852629595e-06,0.0015417116559154499
