Time (s),Displacement (in),Velocity (in/s),Acceleration (in/s²)
2.56,0.04091802899241519,1.352174815591103,-11.452383911614595
2.58,0.0667199978522392,1.228022070391298,-0.9628906083658979
2.6,0.09100946543184295,1.2009246875690767,-1.74684767385624
2.62,0.11463289429058918,1.161418198305546,-2.2038012524968247
2.64,0.13704677546755017,1.0799699193905536,-5.941026639002419
2.66,0.15795461927363,1.0108144612174286,-0.9745191783100857
2.68,0.17720262113304466,0.9139857247240378,-8.708354471028992
2.7,0.19329360349359906,0.6951125113314016,-13.178966868234626
2.72,0.20380471613354254,0.355998752662946,-20.732408998610936
2.74,0.20754205986514887,0.017735620497687454,-13.093904217914918
2.76,0.20567677083300748,-0.20426452371182674,-9.1061102030365
2.78,0.1994796059467154,-0.4154519649173805,-12.012633917518876
2.8,0.18802430655837096,-0.7300779739170635,-19.449966982449432
2.82,0.1679474657625962,-1.2776061056604129,-35.3028461918855
2.84,0.13701654218108747,-1.81548625249046,-18.485168491119204
2.86,0.09720808693630899,-2.165359271987388,-16.502133458573617
2.88,0.05149229622802888,-2.4062197988406226,-7.583919226749817
2.9,0.003374966611776581,-2.4055131627846076,7.654582832351329
2.92,-0.0421538689503655,-2.1473703934296,18.159694103149427
2.94,-0.08158874186632051,-1.7961168981659006,16.965655423220518
2.96,-0.1160214232703887,-1.647151242240918,-2.069089830722259
2.98,-0.1482688414612689,-1.577590576847102,9.025156370103879
3.0,-0.177445048879881,-1.340030165014108,14.730884813195516
3.02,-0.20035526401880044,-0.9509913488778363,24.172996800431648
3.04,-0.21429843188396885,-0.4433254376390052,26.593594323451462
3.06,-0.2188384833104241,-0.010679705006519713,16.670978939797088
3.08,-0.2159912810110808,0.29539993494084904,13.936985054939786
3.1,-0.2082073894664243,0.4829892195248011,4.821943403455418
3.12,-0.1971511320386565,0.6226365232519796,9.142786969262433
3.14,-0.18096282809979267,0.9961938706344038,28.212947768979994
3.16,-0.1536166744494915,1.7384214943957117,46.00981460715081
3.18,-0.11024211132056576,2.5990348184968637,40.051517802964376
