Time (s),Displacement (in),Velocity (in/s),Acceleration (in/s^2),Acceleration (in/s²)
1.3,0.0074341450020227315,-0.2586089373920311,0.7294831475860786,
1.32,0.0029200902093950037,-0.19279654187074163,5.851756404542871,
1.34,0.0005000722163797341,-0.049205257430785326,8.507372039452758,
1.36,0.0006773424427767372,0.06693228007048566,3.1063817106743397,
1.38,0.002358073759126305,0.10114085156447111,0.31447543872420525,
1.4,0.004640109424701185,0.12706271499301688,2.2777109041303727,
1.42,0.007864017212046081,0.19532806374147277,4.548823970715215,
1.44,0.011842961454128244,0.20256636046674353,-3.8249942981881375,
1.46,0.014614761551277632,0.07461364924819514,-8.970276823666701,
1.48,0.01451861325965182,-0.08422847841077624,-6.913935942230436,
1.5,0.011965346429092041,-0.17109820464520167,-1.7730366812121066,
1.52,0.008393552863326324,-0.18608115193137006,0.27474195259526635,
1.54,0.004602939806674041,-0.19298015373385818,-0.9646421328440781,
1.56,0.0010648334599266814,-0.16083048094087782,4.179609412142116,
1.58,-0.0008880455115461439,-0.03445741620640472,8.457697061305193,
1.6,-0.0005492709082278854,0.06833487653823057,1.821532213158335,
1.62,0.0011455011279338453,0.10114232707794249,1.4592128408128566,
1.64,0.0033157689326789967,0.11588445339657266,0.014999791050160916,
1.66,0.005391678750048313,0.09170652834035894,-2.4327922966715323,
1.68,0.0068829790891316665,0.0574235055679764,-0.9955099805667218,
1.7,0.00742864570348268,-0.0028568441328750277,-5.032524989518421,
1.72,0.005889187711130558,-0.15108895510233722,-9.790686107427797,
1.74,0.002256998034395035,-0.21213001257121505,3.686580360540014,
1.76,-0.0010235013891173408,-0.11591992978002248,5.934427918579243,
1.78,-0.0029865565686521536,-0.08038558817345878,-2.3809937579228735,
1.8,-0.005106103265179273,-0.1315690814792532,-2.737355572656568,
1.82,-0.007920809078075243,-0.14990149981034379,0.9041137395475094,
1.84,-0.010452367891987372,-0.10325438158086904,3.760598083399965,
1.86,-0.011758830095629728,-0.02739183878336654,3.825656196350285,
1.88,-0.011316664243053701,0.07160842404096922,6.074370086083291,
1.9,-0.008636584490951841,0.19639955116921679,6.4047426267414655,
1.92,-0.0031873013127311518,0.34852876665285215,8.80817892162207,
1.94,0.004590002522950485,0.4292016169153115,-0.7408938953761339,
1.96,0.01279926938152146,0.39172506894178594,-3.0067609019764245,
1.98,0.019554225137877822,0.2837705066938502,-7.78869532281715,
2.0,0.023362912065285752,0.09709818604694284,-10.878536741873583,
2.02,0.02298987965198213,-0.13440142737730512,-12.271424600551212,
2.04,0.018296892880339498,-0.334897249786958,-7.7781576404140775,
2.06,0.01113271907537465,-0.38152013070952673,3.115869548157205,
2.08,0.004434473675922321,-0.28830440923570616,6.205702599224853,
2.1,-0.0004882819208928763,-0.20397115044581354,2.2276232797644084,
2.12,-0.0047973051739624,-0.22693117486113884,-4.5236257212969395,
2.14,-0.008352712735896566,-0.12860958133227773,14.355785074183052,
2.16,-0.00849449529832272,0.11443132508966228,9.94830556801095,
2.18,-0.00481326794656174,0.25369141008643575,3.9777029316663963,
2.2,0.0003265334821496146,0.2602887327846997,-3.3179706618399996,
2.22,0.004646844260347803,0.17174234503511907,-5.536668113118066,
2.24,0.006196860978668797,-0.01674067320301964,-13.311633710695805,
2.26,0.0026138498688986944,-0.34156043777399064,-19.170342746401293,
2.28,-0.006273823723520244,-0.5472069214679032,-1.3943056229899646,
2.3,-0.016722977535756824,-0.49770845975575473,6.34415179420481,
2.32,-0.024982269879507423,-0.3282207746193051,10.604616719440152,
2.34,-0.029271635876205074,-0.10071582505046003,12.145878237444354,
2.36,-0.028893021797069804,0.1385772329639871,11.783427564000359,
2.38,-0.02301011705351475,0.4497132413915181,19.33017327875274,
2.4,-0.011519829397966306,0.6993155241633264,5.6300549984281005,
2.42,0.0018683683694427197,0.6395042525775761,-11.611182157003132,
2.44,0.013093151310147837,0.48297404149293555,-4.041838951460928,
2.46,0.022074885554306024,0.4151993829228831,-2.7356269055443168,
2.48,0.03071631822388919,0.44894388403543367,6.110077016799371,
2.5,0.03933776966691147,0.41320126026679443,-9.684339393663295,
2.52,0.04545397550027936,0.19841932306999438,-11.793854326016708,
2.54,0.04629335306090645,-0.11448156700728557,-19.496234681711286,
2.56,0.04004922254654674,-0.5099314844286853,-20.048757060428684,
2.58,0.027730860729070755,-0.7219046973189134,-1.1485642285941182,
2.6,0.013828446933533559,-0.6683366822348061,6.505365737004842,
2.62,0.002422215853053976,-0.47228642581315206,13.099659905160566,
2.64,-0.0042958553608309505,-0.19952069557534052,14.176913118620588,
2.66,-0.004757913748149382,0.15331485684349744,21.106642123263207,
2.68,0.0016559465495796925,0.48807117292941,12.36898948532805,
2.7,0.013121080868932914,0.658442259005912,4.668119122322157,
2.72,0.026043920365567498,0.6338416906575465,-7.128175957158713,
2.74,0.03762299594421183,0.524065867206887,-3.8494063879072415,
2.76,0.047311484831189486,0.44478302149087834,-4.078878183693623,
2.78,0.05473213920528158,0.2972824159183313,-10.671182373561079,
2.8,0.05757255209926112,-0.013241126520377677,-20.38117187030982,
2.82,0.05168931076606474,-0.57508300679926,-35.80301615757842,
2.84,0.03504392010255125,-1.089456059552089,-15.634289117704476,
2.86,0.01082400940309598,-1.3325350103934381,-8.673605966430433,
2.88,-0.016162742433191112,-1.366140173235271,5.313089682247151,
2.9,-0.04056439948549328,-1.0740255319949457,23.898374441785386,
2.92,-0.05622977136806574,-0.49251165626230076,34.25301313147911,
2.94,-0.05977674990658295,0.13781380241057983,28.77953273580895,
2.96,-0.053874309055247704,0.4524302827229449,2.682115295427554,
